,USA State,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,State Abv,Recovered per 1M,Infected per 1M,Total Infected
0,Alabama,1659936,21138,1623935.0,14863.0,338542,4311,9332317,1903317,4903185,AL,331200.02610548044,338542.3964219176,1695937.0
1,Alaska,301513,1485,298902.0,1126.0,412159,2030,4790640,6548661,731545,AK,408590.0388902938,412159.1973152711,304124.0
2,Arizona,2508168,33749,2461333.0,13086.0,344589,4637,22489035,3089698,7278717,AZ,338154.78744399594,344589.3005594255,2555003.0
3,Arkansas,1029976,13246,1012777.0,3953.0,341300,4389,8036831,2663139,3017804,AR,335600.655310948,341299.8325935018,1047175.0
4,California,12393361,104634,12227662.0,61065.0,313659,2648,202799362,5132573,39512223,CA,309465.3014081238,313658.915115963,12559060.0
5,Colorado,1801735,15348,1776536.0,9851.0,312870,2665,21396759,3715530,5758736,CO,308494.0862022499,312869.87283320504,1826934.0
6,Connecticut,983652,12354,969400.0,1898.0,275897,3465,16773196,4704585,3565287,CT,271899.5693754809,275897.0035231385,997904.0
7,Delaware,336722,3463,331696.0,1563.0,345794,3556,1026007,1053651,973764,DE,340632.84327619424,345794.2581570073,341748.0
8,Florida,7758207,90232,7612612.0,55363.0,361221,4201,66800091,3110202,21477737,FL,354441.99731098296,361220.87722742854,7903802.0
9,Georgia,3157491,43095,3075283.0,39113.0,297388,4059,28915980,2723446,10617423,GA,289644.9543359062,297387.69944458274,3239699.0
10,Hawaii,401852,2009,395053.0,4790.0,283819,1419,4101166,2896566,1415872,HI,279017.45355512365,283819.44130542874,408651.0
11,Idaho,525825,5482,517984.0,2359.0,294239,3068,3301678,1847542,1787065,ID,289851.79610142886,294239.43728963414,533666.0
12,Illinois,4136659,42005,4094654.0,0.0,326446,3315,57898053,4569040,12671821,IL,323130.66922267916,326445.504556922,4178664.0
13,Indiana,2105286,26672,,,312718,3962,21512168,3195405,6732219,IN,,312717.990903148,
14,Iowa,1058274,10797,1031729.0,15748.0,335420,3422,8492575,2691723,3155070,IA,327006.69081827026,335420.13330924517,1084819.0
15,Kansas,946564,10229,934730.0,1605.0,324910,3511,6215342,2133427,2913314,KS,320847.6669524809,324909.7076387921,958398.0
16,Kentucky,1787563,19133,1738136.0,30294.0,400111,4283,13675281,3060940,4467673,KY,389047.2736030591,400110.5273371618,1836990.0
17,Louisiana,1659969,19163,1612348.0,28458.0,357075,4122,18935316,4073167,4648794,LA,346831.45779313945,357075.1898234252,1707590.0
18,Maine,326868,3110,321804.0,1954.0,243167,2314,5956082,4430910,1344212,ME,239399.73754139972,243167.00044338245,331932.0
19,Maryland,1394250,16928,1371142.0,6180.0,230619,2800,25094995,4150897,6045680,MD,226796.98561617552,230619.2190125842,1417358.0
20,Massachusetts,2272428,24858,2241026.0,6544.0,329696,3607,50416970,7314755,6892503,MA,325139.64810751623,329695.61275490193,2303830.0
21,Michigan,3142827,43284,3082734.0,16809.0,314696,4334,28943982,2898207,9986857,MI,308679.0969371044,314696.3053541269,3202920.0
22,Minnesota,1812049,15428,1793505.0,3116.0,321306,2736,24412112,4328671,5639632,MN,318018.0905420779,321306.24835095624,1830593.0
23,Mississippi,1000415,13474,984056.0,2885.0,336144,4527,7063623,2373410,2976149,MS,330647.4239024995,336144.1245045191,1016774.0
24,Missouri,1780715,22778,1757937.0,0.0,290140,3711,14632189,2384091,6137428,MO,286428.9405920526,290140.2672259454,1803493.0
25,Montana,333758,3712,329725.0,321.0,312280,3473,2789012,2609534,1068778,MT,308506.5373725882,312280.00576359173,337791.0
26,Nebraska,574399,5063,566979.0,2357.0,296938,2617,5506012,2846355,1934408,NE,293102.07567379787,296937.87453319057,581819.0
27,Nevada,909923,12126,891273.0,6524.0,295415,3937,6875532,2232203,3080156,NV,289359.69476870657,295414.5828977494,928573.0
28,New Hampshire,382013,3099,,,280952,2279,4845153,3563370,1359711,NH,,280951.6139826772,
29,New Jersey,3123426,36266,3055814.0,31346.0,351650,4083,32419102,3649900,8882190,NJ,344038.35090219864,351650.43756100687,3191038.0
30,New Mexico,681525,9236,660313.0,11976.0,325027,4405,8610078,4106238,2096829,NM,314910.27642215934,325026.5043072182,702737.0
31,New York,7122731,78103,7014253.0,30375.0,366140,4015,131503719,6759879,19453561,NY,360563.96050059935,366140.21463730984,7231209.0
32,North Carolina,3501404,29059,,,333846,2771,26656056,2541556,10488084,NC,,333845.9150403448,
33,North Dakota,293570,2513,290540.0,517.0,385231,3298,2462480,3231338,762062,ND,381255.0684852414,385231.1229270059,296600.0
34,Ohio,3504742,42522,3430857.0,31363.0,299830,3638,24766997,2118811,11689100,OH,293509.08110975183,299829.92702603276,3578627.0
35,Oklahoma,1306350,16157,1288527.0,1666.0,330139,4083,5473577,1383274,3956971,OK,325634.68370124523,330138.8865372023,1324173.0
36,Oregon,974924,9544,956827.0,8553.0,231149,2263,12508506,2965691,4217737,OR,226857.90982225776,231148.59935553116,993021.0
37,Pennsylvania,3565499,51480,,,278511,4021,30962562,2418574,12801989,PA,,278511.3313251558,
38,Rhode Island,443803,4166,439178.0,459.0,418935,3933,8808359,8314785,1059361,RI,414568.7825019044,418934.62190886773,448428.0
39,South Carolina,1857853,20311,1827064.0,10478.0,360838,3945,18979097,3686182,5148714,SC,354858.3199610621,360838.25980623515,1888642.0
40,South Dakota,282895,3231,,,319779,3652,2331003,2634917,884659,SD,,319778.5813516847,
41,Tennessee,2588139,29734,2548828.0,9577.0,378983,4354,14843622,2173560,6829174,TN,373226.39604731114,378982.7290972524,2627450.0
42,Texas,8792279,94873,8598329.0,99077.0,303225,3272,73904384,2548789,28995881,TX,296536.2218171609,303225.10290340893,8986229.0
43,Utah,1106483,5418,1096422.0,4643.0,345133,1690,9406861,2934181,3205958,UT,341995.12283067964,345133.3423581968,1116544.0
44,Vermont,154009,929,153011.0,69.0,246814,1489,4184358,6705820,623989,VT,245214.25858468658,246813.64575337066,155007.0
45,Virginia,2315784,23748,2289616.0,2420.0,271311,2782,19172533,2246206,8535519,VA,268245.66848249064,271311.4457363401,2341952.0
46,Washington,1989477,16151,1960007.0,13319.0,261261,2121,18887049,2480278,7614893,WA,257391.27260225452,261261.3204151391,2018947.0
47,West Virginia,657760,8188,644461.0,5111.0,367023,4569,7291246,4068442,1792147,WV,359602.7558007239,367023.4640350373,671059.0
48,Wisconsin,2043838,16758,2020642.0,6438.0,351028,2878,19643258,3373719,5822434,WI,347044.20865912776,351028.10955006105,2067034.0
49,Wyoming,188851,2048,186326.0,477.0,326303,3539,1572010,2716174,578759,WY,321940.5659350438,326303.3490623904,191376.0
